Tender,Date,Competitors,Bid_value_without_inflation,Winner,Bid_value,Bid_value_inflation_raw_milk_price_adjusted_bid,Collusive_competitor,only_cartels_bidding_on_contract,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original
1565,1985,43,0.139,0,0.1050342031029619,0.0342342031029619,1,1,3,0.0072,0.0145,0.0072,0.0,0.0,0.0,0.3333,1
1929,1986,64,0.14,0,0.103419510513616,0.033419510513616,1,1,3,0.0161,0.0326,0.0145,0.0,0.0,0.3308,0.3333,1
1929,1986,22,0.1425,0,0.1052662874870734,0.0352662874870734,1,1,3,0.0161,0.0326,0.0145,0.0,0.0,0.3308,0.3333,1
1929,1986,43,0.138,1,0.10194208893485,0.03194208893485,1,1,3,0.0161,0.0326,0.0145,0.0,0.0,0.3308,0.3333,1
2310,1987,43,0.15,1,0.1081958936385055,0.0380958936385055,1,1,3,0.0248,0.05,0.0333,0.0,0.0,-0.9352,0.3333,1
2310,1987,22,0.1575,0,0.1136056883204308,0.0435056883204308,1,1,3,0.0248,0.05,0.0333,0.0,0.0,-0.9352,0.3333,1
2310,1987,64,0.155,0,0.1118024234264557,0.0417024234264557,1,1,3,0.0248,0.05,0.0333,0.0,0.0,-0.9352,0.3333,1
2719,1988,43,0.1525,1,0.1070797837483617,0.0404797837483617,1,1,2,0.0339,0.0492,0.0492,0.0,0.0,0.0,0.5,1
2719,1988,64,0.16,0,0.1123460026212319,0.0457460026212319,1,1,2,0.0339,0.0492,0.0492,0.0,0.0,0.0,0.5,1
3124,1989,43,0.1275,1,0.0859897718332022,0.0151897718332022,1,1,2,0.202,0.3333,0.3333,0.0,0.0,0.0,0.5,1
3124,1989,64,0.17,0,0.1146530291109362,0.0438530291109362,1,1,2,0.202,0.3333,0.3333,0.0,0.0,0.0,0.5,1
3498,1990,43,0.1657,1,0.1078660692588092,0.0281660692588092,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
316,1981,106,0.122,1,0.1107822033898304,0.0338822033898304,0,0,2,0.071,0.1057,0.1057,-2.7333,0.0,0.0,0.5,0
316,1981,14,0.1349,0,0.1224960593220338,0.0455960593220338,0,0,2,0.071,0.1057,0.1057,-2.7333,0.0,0.0,0.5,0
592,1982,106,0.12,1,0.1017246835443037,0.0257246835443037,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
893,1983,106,0.124,1,0.1004467964467964,0.0240467964467964,0,0,1,0.0,0.0,0.0,-2.2884,0.0,0.0,0.0,0
1219,1984,106,0.1277,1,0.0998763138686131,0.0257763138686131,0,0,3,0.0407,0.083,0.0282,-37.831,0.0,0.9043,0.3333,0
1219,1984,12,0.1383,0,0.1081667518248175,0.0340667518248175,0,0,3,0.0407,0.083,0.0282,-37.831,0.0,0.9043,0.3333,0
1219,1984,14,0.1313,0,0.1026919343065693,0.0285919343065693,0,0,3,0.0407,0.083,0.0282,-37.831,0.0,0.9043,0.3333,0
1566,1985,12,0.1394,0,0.1053364598025387,0.0345364598025387,0,0,3,0.0449,0.0823,0.0047,0.0,0.0,1.7123,0.6101,0
1566,1985,28,0.1294,0,0.097780042313117,0.026980042313117,0,0,3,0.0449,0.0823,0.0047,0.0,0.0,1.7123,0.6101,0
1566,1985,106,0.1288,1,0.0973266572637517,0.0265266572637517,0,0,3,0.0449,0.0823,0.0047,0.0,0.0,1.7123,0.6101,0
1930,1986,28,0.13,0,0.0960324026197862,0.0260324026197862,0,0,3,0.0178,0.0349,0.0093,0.0,0.0,1.2298,0.4,0
1930,1986,12,0.1333,0,0.09847014822475,0.02847014822475,0,0,3,0.0178,0.0349,0.0093,0.0,0.0,1.2298,0.4,0
1930,1986,106,0.1288,1,0.0951459496725267,0.0251459496725267,0,0,3,0.0178,0.0349,0.0093,0.0,0.0,1.2298,0.4,0
2311,1987,28,0.128,1,0.0923271625715247,0.0222271625715247,0,0,2,0.0516,0.0758,0.0758,0.0,0.0,0.0,0.5,0
2311,1987,12,0.1377,0,0.099323830360148,0.029223830360148,0,0,2,0.0516,0.0758,0.0758,0.0,0.0,0.0,0.5,0
2720,1988,28,0.1286,1,0.0902980996068152,0.0236980996068152,0,0,2,0.0322,0.0467,0.0467,0.0,0.0,0.0,0.5,0
2720,1988,12,0.1346,0,0.0945110747051114,0.0279110747051113,0,0,2,0.0322,0.0467,0.0467,0.0,0.0,0.0,0.5,0
3125,1989,28,0.1299,1,0.0876084028324154,0.0168084028324154,0,0,2,0.0092,0.0131,0.0131,0.0,0.0,0.0,0.5,0
