Tender,Difference Bid/PTE,Winner,Competitors,Legal_entity_type,Site,Capital,Pre-Tender Estimate (PTE),Bid_value,Cartel_name,Collusive_competitor,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original
0,31.31129,0,2186570160,11,130.529006958008,52000.0,1187850.87,81591943.93,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,30.9734,0,2462270048,11,37.8339920043945,93600.0,1187850.87,81993306.86,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,38.23002,0,2525270019,10,0.0,1136000.0,1187850.87,73373524.48,1,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,1
0,38.08436,0,2622650014,10,19.996000289917,1000000.0,1187850.87,73546546.84,1,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,1
0,37.53999,0,2888760010,10,1.64999997615814,6000000.0,1187850.87,74193177.22,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,33.21382,0,3678430012,11,4.56700038909912,31200.0,1187850.87,79332022.02,1,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,1
0,32.18034,0,3697740011,0,0.0,50000.0,1187850.87,80559642.13,1,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,1
0,37.94649,0,3774280287,11,222.449996948242,32000.0,1187850.87,73710315.84,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,31.71729,0,3983950019,11,4.21600008010864,500000.0,1187850.87,81109676.48,1,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,1
0,36.80183,0,4108590011,11,6.91599988937378,90000.0,1187850.87,75070001.22,1,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,1
0,37.69141,0,4318090018,10,1.82700002193451,775000.0,1187850.87,74013312.84,1,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,1
0,31.8834,0,4321830822,11,982.777038574219,100000.0,1187850.87,80912362.57,1,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,1
0,37.82,0,4724200011,11,4.54400014877319,31000.0,1187850.87,73860567.1,1,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,1
0,35.89985,0,798580965,12,94.4420013427734,315000.0,1187850.87,76141418.94,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,40.34339,0,5808040017,11,3.13099980354309,10400.0,1187850.87,70863156.09,1,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,1
0,46.78996,0,6385290157,11,106.196006774902,30600.0,1187850.87,63205592.31,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,37.00998,0,7573200016,11,4.54400014877319,100000.0,1187850.87,74822750.06,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,35.40414,0,7688630016,11,18.7560005187988,116325.0,1187850.87,76730248.5,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,28.88084,0,9422250010,11,6.91599988937378,10000.0,1187850.87,84478956.08,1,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,1
0,36.03273,0,12546350153,11,94.4420013427734,50400.0,1187850.87,75983577.32,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,45.80005,0,10411470155,11,103.728996276855,100000.0,1187850.87,64381457.76,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,33.60418,0,1464770203,10,174.451995849609,362898.0,1187850.87,78868332.55,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,36.38008,0,4034780017,10,0.347000002861023,3000000.0,1187850.87,75570977.32,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,35.30356,0,59740936,5,322.651092529297,80000.0,1187850.87,76849722.54,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,23.07598,0,376,5,29.9580020904541,80000.0,1187850.87,91374264.08,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,32.26152,0,426,5,29.9580020904541,80000.0,1187850.87,80463212.4,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,28.50006,0,432,5,29.9580020904541,80000.0,1187850.87,84931265.93,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,35.74126,0,458,5,29.9580020904541,80000.0,1187850.87,76329800.21,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,46.55203,0,486,5,29.9580020904541,80000.0,1187850.87,63488217.66,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
0,14.08387,0,609,5,29.9580020904541,80000.0,1187850.87,102055549.77,0,1,63,0.0863,0.6147,0.0045,0.0469,2.4209,0.287,0.3725,0
