Bid_value,Collusive_competitor,Contract_type,Tender,Date,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original,Winner
539974.4,1,3.0,58,2196,4,0.0481,0.1145,0.0341,2.3238,-2.4852,-0.0682,0.25,1.0,0.0
555287.05,1,3.0,58,2196,4,0.0481,0.1145,0.0341,2.3238,-2.4852,-0.0682,0.25,1.0,0.0
498258.7,1,3.0,58,2196,4,0.0481,0.1145,0.0341,2.3238,-2.4852,-0.0682,0.25,1.0,1.0
1032839.4,1,2.0,76,3294,6,0.1497,0.4225,0.0389,0.1382,-1.6516,0.7022,0.3367,1.0,1.0
1131542.05,1,2.0,76,3294,6,0.1497,0.4225,0.0389,0.1382,-1.6516,0.7022,0.3367,0.0,0.0
1469244.6,1,2.0,76,3294,6,0.1497,0.4225,0.0389,0.1382,-1.6516,0.7022,0.3367,1.0,0.0
1072995.0,1,2.0,76,3294,6,0.1497,0.4225,0.0389,0.1382,-1.6516,0.7022,0.3367,1.0,0.0
1413391.55,1,2.0,76,3294,6,0.1497,0.4225,0.0389,0.1382,-1.6516,0.7022,0.3367,1.0,0.0
1176850.85,1,2.0,76,3294,6,0.1497,0.4225,0.0389,0.1382,-1.6516,0.7022,0.3367,1.0,0.0
658052.8,1,1.0,78,3294,6,0.061,0.2027,0.0898,0.0836,1.1981,-0.4366,0.2762,1.0,0.0
592999.8,1,1.0,78,3294,6,0.061,0.2027,0.0898,0.0836,1.1981,-0.4366,0.2762,1.0,1.0
683096.5,1,1.0,78,3294,6,0.061,0.2027,0.0898,0.0836,1.1981,-0.4366,0.2762,1.0,0.0
713218.4,1,1.0,78,3294,6,0.061,0.2027,0.0898,0.0836,1.1981,-0.4366,0.2762,0.0,0.0
646243.75,1,1.0,78,3294,6,0.061,0.2027,0.0898,0.0836,1.1981,-0.4366,0.2762,1.0,0.0
654870.55,1,1.0,78,3294,6,0.061,0.2027,0.0898,0.0836,1.1981,-0.4366,0.2762,0.0,0.0
6572433.65,1,3.0,83,2928,5,0.076,0.2318,0.0884,86.417,0.8124,0.1142,0.2,1.0,0.0
5335785.2,1,3.0,83,2928,5,0.076,0.2318,0.0884,86.417,0.8124,0.1142,0.2,0.0,1.0
6117791.45,1,3.0,83,2928,5,0.076,0.2318,0.0884,86.417,0.8124,0.1142,0.2,0.0,0.0
5807237.75,1,3.0,83,2928,5,0.076,0.2318,0.0884,86.417,0.8124,0.1142,0.2,0.0,0.0
5887584.95,1,3.0,83,2928,5,0.076,0.2318,0.0884,86.417,0.8124,0.1142,0.2,1.0,0.0
78634.9,1,1.0,85,3660,3,0.0457,0.0816,0.0008,0.0558,0.0,1.7315,0.6568,1.0,1.0
78698.5,1,1.0,85,3660,3,0.0457,0.0816,0.0008,0.0558,0.0,1.7315,0.6568,1.0,0.0
85055.3,1,1.0,85,3660,3,0.0457,0.0816,0.0008,0.0558,0.0,1.7315,0.6568,0.0,0.0
323982.35,1,3.0,91,2196,4,0.1861,0.4378,0.0124,2.8868,3.7704,1.9357,0.6324,0.0,0.0
336472.45,1,3.0,91,2196,4,0.1861,0.4378,0.0124,2.8868,3.7704,1.9357,0.6324,0.0,0.0
320000.0,1,3.0,91,2196,4,0.1861,0.4378,0.0124,2.8868,3.7704,1.9357,0.6324,1.0,1.0
460090.7,1,3.0,91,2196,4,0.1861,0.4378,0.0124,2.8868,3.7704,1.9357,0.6324,0.0,0.0
28999.7,1,3.0,94,1098,3,0.1033,0.221,0.0673,0.594,0.0,1.0704,0.3622,1.0,1.0
30950.6,1,3.0,94,1098,3,0.1033,0.221,0.0673,0.594,0.0,1.0704,0.3622,0.0,0.0
35407.3,1,3.0,94,1098,3,0.1033,0.221,0.0673,0.594,0.0,1.0704,0.3622,0.0,0.0
30969.95,1,3.0,97,3660,2,0.0803,0.1204,0.1204,0.6434,0.0,0.0,0.5,0.0,1.0
34699.35,1,3.0,97,3660,2,0.0803,0.1204,0.1204,0.6434,0.0,0.0,0.5,1.0,0.0
489631.7,0,3.0,99,2928,2,0.1112,0.1708,0.1708,42.9395,0.0,0.0,0.5,0.0,0.0
418218.3,0,3.0,99,2928,2,0.1112,0.1708,0.1708,42.9395,0.0,0.0,0.5,0.0,1.0
247947.7,1,2.0,100,2928,4,0.2409,0.5896,0.04,2.1242,3.9058,1.9697,0.6755,1.0,0.0
248879.9,1,2.0,100,2928,4,0.2409,0.5896,0.04,2.1242,3.9058,1.9697,0.6755,1.0,0.0
238405.9,1,2.0,100,2928,4,0.2409,0.5896,0.04,2.1242,3.9058,1.9697,0.6755,1.0,1.0
378967.7,1,2.0,100,2928,4,0.2409,0.5896,0.04,2.1242,3.9058,1.9697,0.6755,1.0,0.0
30310.9,1,1.0,102,1464,3,0.0492,0.095,0.085,1.0113,0.0,-1.6608,0.5614,1.0,0.0
30034.25,1,1.0,102,1464,3,0.0492,0.095,0.085,1.0113,0.0,-1.6608,0.5614,1.0,0.0
27682.25,1,1.0,102,1464,3,0.0492,0.095,0.085,1.0113,0.0,-1.6608,0.5614,1.0,1.0
46800.6,1,1.0,105,1464,3,0.0439,0.0834,0.0761,0.1843,0.0,-1.6846,0.5801,1.0,0.0
46488.85,1,1.0,105,1464,3,0.0439,0.0834,0.0761,0.1843,0.0,-1.6846,0.5801,1.0,0.0
43199.8,1,1.0,105,1464,3,0.0439,0.0834,0.0761,0.1843,0.0,-1.6846,0.5801,1.0,1.0
52073.15,1,1.0,107,2196,3,0.0334,0.0619,0.0582,0.49,0.0,-1.71,0.6069,1.0,1.0
55101.85,1,1.0,107,2196,3,0.0334,0.0619,0.0582,0.49,0.0,-1.71,0.6069,1.0,0.0
55294.3,1,1.0,107,2196,3,0.0334,0.0619,0.0582,0.49,0.0,-1.71,0.6069,1.0,0.0
