Bid_value,Collusive_competitor,Contract_type,Tender,Date,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original,Winner
78698.5,1,1.0,85,3660,3,0.0457,0.0816,0.0008,0.0558,0.0,1.7315,0.6568,1.0,0.0
85055.3,1,1.0,85,3660,3,0.0457,0.0816,0.0008,0.0558,0.0,1.7315,0.6568,0.0,0.0
91110.3,1,3.0,89,2562,5,0.1186,0.2959,0.0123,0.8381,-2.7644,-0.0071,0.3583,0.0,0.0
103387.6,1,3.0,89,2562,5,0.1186,0.2959,0.0123,0.8381,-2.7644,-0.0071,0.3583,0.0,0.0
112951.6,1,3.0,89,2562,5,0.1186,0.2959,0.0123,0.8381,-2.7644,-0.0071,0.3583,0.0,0.0
116631.8,1,3.0,89,2562,5,0.1186,0.2959,0.0123,0.8381,-2.7644,-0.0071,0.3583,0.0,0.0
90000.0,1,3.0,89,2562,5,0.1186,0.2959,0.0123,0.8381,-2.7644,-0.0071,0.3583,1.0,1.0
106577.9,1,3.0,95,2562,2,0.1285,0.1999,0.1999,2.4601,0.0,0.0,0.5,1.0,1.0
127885.4,1,3.0,95,2562,2,0.1285,0.1999,0.1999,2.4601,0.0,0.0,0.5,0.0,0.0
50080.25,1,1.0,98,2562,4,0.1262,0.3276,0.2786,0.1705,3.6109,-1.8935,0.6004,1.0,1.0
64032.55,1,1.0,98,2562,4,0.1262,0.3276,0.2786,0.1705,3.6109,-1.8935,0.6004,1.0,0.0
65947.5,1,1.0,98,2562,4,0.1262,0.3276,0.2786,0.1705,3.6109,-1.8935,0.6004,1.0,0.0
66487.1,1,1.0,98,2562,4,0.1262,0.3276,0.2786,0.1705,3.6109,-1.8935,0.6004,1.0,0.0
498560.15,1,2.0,123,2928,5,0.0182,0.046,0.0166,0.517,-1.4093,-0.1176,0.2782,1.0,1.0
506842.85,1,2.0,123,2928,5,0.0182,0.046,0.0166,0.517,-1.4093,-0.1176,0.2782,0.0,0.0
508595.15,1,2.0,123,2928,5,0.0182,0.046,0.0166,0.517,-1.4093,-0.1176,0.2782,0.0,0.0
518713.25,1,2.0,123,2928,5,0.0182,0.046,0.0166,0.517,-1.4093,-0.1176,0.2782,0.0,0.0
521509.5,1,2.0,123,2928,5,0.0182,0.046,0.0166,0.517,-1.4093,-0.1176,0.2782,1.0,0.0
39780.75,1,1.0,145,2562,5,0.1289,0.3232,0.0294,0.1514,-3.0435,-0.5221,0.3977,0.0,1.0
40949.8,1,1.0,145,2562,5,0.1289,0.3232,0.0294,0.1514,-3.0435,-0.5221,0.3977,1.0,0.0
50037.2,1,1.0,145,2562,5,0.1289,0.3232,0.0294,0.1514,-3.0435,-0.5221,0.3977,0.0,0.0
51071.0,1,1.0,145,2562,5,0.1289,0.3232,0.0294,0.1514,-3.0435,-0.5221,0.3977,1.0,0.0
52639.0,1,1.0,145,2562,5,0.1289,0.3232,0.0294,0.1514,-3.0435,-0.5221,0.3977,1.0,0.0
237587.15,1,2.0,146,2928,6,0.0798,0.2205,0.0769,98.624,-1.7872,-0.3976,0.3745,1.0,1.0
255851.45,1,2.0,146,2928,6,0.0798,0.2205,0.0769,98.624,-1.7872,-0.3976,0.3745,1.0,0.0
256557.55,1,2.0,146,2928,6,0.0798,0.2205,0.0769,98.624,-1.7872,-0.3976,0.3745,0.0,0.0
283399.1,1,2.0,146,2928,6,0.0798,0.2205,0.0769,98.624,-1.7872,-0.3976,0.3745,1.0,0.0
287318.55,1,2.0,146,2928,6,0.0798,0.2205,0.0769,98.624,-1.7872,-0.3976,0.3745,0.0,0.0
