Bid_value,Collusive_competitor,Contract_type,Tender,Date,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original,Winner
1034192.15,1,2.0,65,2562,8,0.1022,0.3308,0.0492,0.6852,-1.2537,0.1624,0.1616,1.0,0.0
985713.75,1,2.0,65,2562,8,0.1022,0.3308,0.0492,0.6852,-1.2537,0.1624,0.1616,0.0,1.0
1139611.55,1,2.0,65,2562,8,0.1022,0.3308,0.0492,0.6852,-1.2537,0.1624,0.1616,0.0,0.0
1055299.05,1,2.0,65,2562,8,0.1022,0.3308,0.0492,0.6852,-1.2537,0.1624,0.1616,1.0,0.0
1143615.05,1,2.0,65,2562,8,0.1022,0.3308,0.0492,0.6852,-1.2537,0.1624,0.1616,1.0,0.0
1205917.25,1,2.0,65,2562,8,0.1022,0.3308,0.0492,0.6852,-1.2537,0.1624,0.1616,0.0,0.0
1387939.0,1,2.0,69,2928,3,0.0922,0.185,0.032,0.5938,0.0,1.5305,0.4938,0.0,0.0
1344942.0,1,2.0,69,2928,3,0.0922,0.185,0.032,0.5938,0.0,1.5305,0.4938,0.0,1.0
1593695.25,1,2.0,69,2928,3,0.0922,0.185,0.032,0.5938,0.0,1.5305,0.4938,1.0,0.0
311258.5,1,1.0,71,3294,3,0.1112,0.2484,0.1666,2.2676,0.0,-0.9557,0.3376,1.0,1.0
363128.6,1,1.0,71,3294,3,0.1112,0.2484,0.1666,2.2676,0.0,-0.9557,0.3376,1.0,0.0
388572.75,1,1.0,71,3294,3,0.1112,0.2484,0.1666,2.2676,0.0,-0.9557,0.3376,1.0,0.0
1401233.0,1,2.0,72,2928,7,0.1087,0.3797,0.0327,10.1476,3.5656,1.6272,0.4807,0.0,0.0
1258666.85,1,2.0,72,2928,7,0.1087,0.3797,0.0327,10.1476,3.5656,1.6272,0.4807,1.0,1.0
1736561.75,1,2.0,72,2928,7,0.1087,0.3797,0.0327,10.1476,3.5656,1.6272,0.4807,1.0,0.0
1299820.45,1,2.0,72,2928,7,0.1087,0.3797,0.0327,10.1476,3.5656,1.6272,0.4807,1.0,0.0
1379800.5,1,2.0,72,2928,7,0.1087,0.3797,0.0327,10.1476,3.5656,1.6272,0.4807,0.0,0.0
1438548.6,1,2.0,72,2928,7,0.1087,0.3797,0.0327,10.1476,3.5656,1.6272,0.4807,1.0,0.0
1426259.65,1,2.0,72,2928,7,0.1087,0.3797,0.0327,10.1476,3.5656,1.6272,0.4807,1.0,0.0
416113.5,1,1.0,73,2928,5,0.0471,0.1362,0.0576,0.1481,0.7641,-0.6135,0.2245,1.0,0.0
383483.95,1,1.0,73,2928,5,0.0471,0.1362,0.0576,0.1481,0.7641,-0.6135,0.2245,1.0,1.0
435731.05,1,1.0,73,2928,5,0.0471,0.1362,0.0576,0.1481,0.7641,-0.6135,0.2245,1.0,0.0
405560.25,1,1.0,73,2928,5,0.0471,0.1362,0.0576,0.1481,0.7641,-0.6135,0.2245,0.0,0.0
420692.3,1,1.0,73,2928,5,0.0471,0.1362,0.0576,0.1481,0.7641,-0.6135,0.2245,1.0,0.0
350670.6,1,1.0,74,3660,3,0.0743,0.1587,0.1069,0.5157,0.0,-0.9687,0.3403,1.0,0.0
334995.65,1,1.0,74,3660,3,0.0743,0.1587,0.1069,0.5157,0.0,-0.9687,0.3403,1.0,0.0
302646.8,1,1.0,74,3660,3,0.0743,0.1587,0.1069,0.5157,0.0,-0.9687,0.3403,1.0,1.0
302030.0,1,2.0,75,3294,4,0.0371,0.0889,0.0229,0.2085,2.7964,1.4911,0.4847,0.0,1.0
308948.9,1,2.0,75,3294,4,0.0371,0.0889,0.0229,0.2085,2.7964,1.4911,0.4847,1.0,0.0
328889.55,1,2.0,75,3294,4,0.0371,0.0889,0.0229,0.2085,2.7964,1.4911,0.4847,1.0,0.0
309155.25,1,2.0,75,3294,4,0.0371,0.0889,0.0229,0.2085,2.7964,1.4911,0.4847,1.0,0.0
1032839.4,1,2.0,76,3294,6,0.1497,0.4225,0.0389,0.1382,-1.6516,0.7022,0.3367,1.0,1.0
1131542.05,1,2.0,76,3294,6,0.1497,0.4225,0.0389,0.1382,-1.6516,0.7022,0.3367,0.0,0.0
1469244.6,1,2.0,76,3294,6,0.1497,0.4225,0.0389,0.1382,-1.6516,0.7022,0.3367,1.0,0.0
1072995.0,1,2.0,76,3294,6,0.1497,0.4225,0.0389,0.1382,-1.6516,0.7022,0.3367,1.0,0.0
1413391.55,1,2.0,76,3294,6,0.1497,0.4225,0.0389,0.1382,-1.6516,0.7022,0.3367,1.0,0.0
1176850.85,1,2.0,76,3294,6,0.1497,0.4225,0.0389,0.1382,-1.6516,0.7022,0.3367,1.0,0.0
1057655.3,1,1.0,77,3294,8,0.0701,0.2966,0.1577,0.8926,3.3542,-0.9562,0.4066,0.0,0.0
1083760.3,1,1.0,77,3294,8,0.0701,0.2966,0.1577,0.8926,3.3542,-0.9562,0.4066,1.0,0.0
1052782.85,1,1.0,77,3294,8,0.0701,0.2966,0.1577,0.8926,3.3542,-0.9562,0.4066,1.0,0.0
1094038.0,1,1.0,77,3294,8,0.0701,0.2966,0.1577,0.8926,3.3542,-0.9562,0.4066,1.0,0.0
1070328.35,1,1.0,77,3294,8,0.0701,0.2966,0.1577,0.8926,3.3542,-0.9562,0.4066,0.0,0.0
1051020.7,1,1.0,77,3294,8,0.0701,0.2966,0.1577,0.8926,3.3542,-0.9562,0.4066,0.0,0.0
907873.4,1,1.0,77,3294,8,0.0701,0.2966,0.1577,0.8926,3.3542,-0.9562,0.4066,1.0,1.0
1177157.7,1,1.0,77,3294,8,0.0701,0.2966,0.1577,0.8926,3.3542,-0.9562,0.4066,0.0,0.0
658052.8,1,1.0,78,3294,6,0.061,0.2027,0.0898,0.0836,1.1981,-0.4366,0.2762,1.0,0.0
592999.8,1,1.0,78,3294,6,0.061,0.2027,0.0898,0.0836,1.1981,-0.4366,0.2762,1.0,1.0
683096.5,1,1.0,78,3294,6,0.061,0.2027,0.0898,0.0836,1.1981,-0.4366,0.2762,1.0,0.0
713218.4,1,1.0,78,3294,6,0.061,0.2027,0.0898,0.0836,1.1981,-0.4366,0.2762,0.0,0.0
646243.75,1,1.0,78,3294,6,0.061,0.2027,0.0898,0.0836,1.1981,-0.4366,0.2762,1.0,0.0
654870.55,1,1.0,78,3294,6,0.061,0.2027,0.0898,0.0836,1.1981,-0.4366,0.2762,0.0,0.0
3145720.1,1,2.0,79,3294,6,0.1144,0.359,0.0388,1.2038,-1.0013,-0.2445,0.2252,0.0,0.0
3480679.6,1,2.0,79,3294,6,0.1144,0.359,0.0388,1.2038,-1.0013,-0.2445,0.2252,1.0,0.0
2561177.2,1,2.0,79,3294,6,0.1144,0.359,0.0388,1.2038,-1.0013,-0.2445,0.2252,1.0,1.0
2660631.0,1,2.0,79,3294,6,0.1144,0.359,0.0388,1.2038,-1.0013,-0.2445,0.2252,1.0,0.0
3074221.5,1,2.0,79,3294,6,0.1144,0.359,0.0388,1.2038,-1.0013,-0.2445,0.2252,0.0,0.0
3178958.65,1,2.0,79,3294,6,0.1144,0.359,0.0388,1.2038,-1.0013,-0.2445,0.2252,0.0,0.0
1691392.0,1,3.0,80,3294,10,0.1115,0.4518,0.0512,0.2075,-0.2819,-0.4088,0.2317,0.0,0.0
1484033.55,1,3.0,80,3294,10,0.1115,0.4518,0.0512,0.2075,-0.2819,-0.4088,0.2317,1.0,0.0
1933559.2,1,3.0,80,3294,10,0.1115,0.4518,0.0512,0.2075,-0.2819,-0.4088,0.2317,1.0,0.0
1769126.5,1,3.0,80,3294,10,0.1115,0.4518,0.0512,0.2075,-0.2819,-0.4088,0.2317,0.0,0.0
1399986.55,1,3.0,80,3294,10,0.1115,0.4518,0.0512,0.2075,-0.2819,-0.4088,0.2317,1.0,0.0
1737490.75,1,3.0,80,3294,10,0.1115,0.4518,0.0512,0.2075,-0.2819,-0.4088,0.2317,0.0,0.0
1676606.45,1,3.0,80,3294,10,0.1115,0.4518,0.0512,0.2075,-0.2819,-0.4088,0.2317,0.0,0.0
1331851.8,1,3.0,80,3294,10,0.1115,0.4518,0.0512,0.2075,-0.2819,-0.4088,0.2317,0.0,1.0
1728652.2,1,3.0,80,3294,10,0.1115,0.4518,0.0512,0.2075,-0.2819,-0.4088,0.2317,1.0,0.0
1651769.6,1,3.0,80,3294,10,0.1115,0.4518,0.0512,0.2075,-0.2819,-0.4088,0.2317,1.0,0.0
5937371.35,1,3.0,81,3660,6,0.1251,0.3933,0.0525,36.5048,-1.2798,-0.0414,0.2,1.0,0.0
6597822.4,1,3.0,81,3660,6,0.1251,0.3933,0.0525,36.5048,-1.2798,-0.0414,0.2,0.0,0.0
5351576.9,1,3.0,81,3660,6,0.1251,0.3933,0.0525,36.5048,-1.2798,-0.0414,0.2,1.0,0.0
7084680.95,1,3.0,81,3660,6,0.1251,0.3933,0.0525,36.5048,-1.2798,-0.0414,0.2,0.0,0.0
6320918.65,1,3.0,81,3660,6,0.1251,0.3933,0.0525,36.5048,-1.2798,-0.0414,0.2,0.0,0.0
5084832.0,1,3.0,81,3660,6,0.1251,0.3933,0.0525,36.5048,-1.2798,-0.0414,0.2,1.0,1.0
851597.4,1,2.0,82,2928,10,0.1038,0.3279,0.0176,303.3955,-1.5047,0.2244,0.2319,0.0,0.0
998348.2,1,2.0,82,2928,10,0.1038,0.3279,0.0176,303.3955,-1.5047,0.2244,0.2319,1.0,0.0
789644.95,1,2.0,82,2928,10,0.1038,0.3279,0.0176,303.3955,-1.5047,0.2244,0.2319,1.0,0.0
776000.65,1,2.0,82,2928,10,0.1038,0.3279,0.0176,303.3955,-1.5047,0.2244,0.2319,1.0,1.0
793331.8,1,2.0,82,2928,10,0.1038,0.3279,0.0176,303.3955,-1.5047,0.2244,0.2319,1.0,0.0
844630.6,1,2.0,82,2928,10,0.1038,0.3279,0.0176,303.3955,-1.5047,0.2244,0.2319,1.0,0.0
898602.55,1,2.0,82,2928,10,0.1038,0.3279,0.0176,303.3955,-1.5047,0.2244,0.2319,1.0,0.0
970469.6,1,2.0,82,2928,10,0.1038,0.3279,0.0176,303.3955,-1.5047,0.2244,0.2319,0.0,0.0
1030452.85,1,2.0,82,2928,10,0.1038,0.3279,0.0176,303.3955,-1.5047,0.2244,0.2319,1.0,0.0
942129.5,1,2.0,82,2928,10,0.1038,0.3279,0.0176,303.3955,-1.5047,0.2244,0.2319,0.0,0.0
84497.75,1,3.0,90,3660,2,0.1596,0.2544,0.2544,4.1726,0.0,0.0,0.5,1.0,1.0
105993.1,1,3.0,90,3660,2,0.1596,0.2544,0.2544,4.1726,0.0,0.0,0.5,0.0,0.0
30969.95,1,3.0,97,3660,2,0.0803,0.1204,0.1204,0.6434,0.0,0.0,0.5,0.0,1.0
34699.35,1,3.0,97,3660,2,0.0803,0.1204,0.1204,0.6434,0.0,0.0,0.5,1.0,0.0
489631.7,0,3.0,99,2928,2,0.1112,0.1708,0.1708,42.9395,0.0,0.0,0.5,0.0,0.0
418218.3,0,3.0,99,2928,2,0.1112,0.1708,0.1708,42.9395,0.0,0.0,0.5,0.0,1.0
247947.7,1,2.0,100,2928,4,0.2409,0.5896,0.04,2.1242,3.9058,1.9697,0.6755,1.0,0.0
248879.9,1,2.0,100,2928,4,0.2409,0.5896,0.04,2.1242,3.9058,1.9697,0.6755,1.0,0.0
238405.9,1,2.0,100,2928,4,0.2409,0.5896,0.04,2.1242,3.9058,1.9697,0.6755,1.0,1.0
378967.7,1,2.0,100,2928,4,0.2409,0.5896,0.04,2.1242,3.9058,1.9697,0.6755,1.0,0.0
1193171.3,1,1.0,101,2928,6,0.0842,0.3039,0.1442,39.5267,2.2678,-0.7056,0.308,1.0,0.0
1198186.55,1,1.0,101,2928,6,0.0842,0.3039,0.1442,39.5267,2.2678,-0.7056,0.308,1.0,0.0
1009903.2,1,1.0,101,2928,6,0.0842,0.3039,0.1442,39.5267,2.2678,-0.7056,0.308,1.0,1.0
1155577.85,1,1.0,101,2928,6,0.0842,0.3039,0.1442,39.5267,2.2678,-0.7056,0.308,1.0,0.0
1316818.1,1,1.0,101,2928,6,0.0842,0.3039,0.1442,39.5267,2.2678,-0.7056,0.308,1.0,0.0
1204503.25,1,1.0,101,2928,6,0.0842,0.3039,0.1442,39.5267,2.2678,-0.7056,0.308,0.0,0.0
141408.95,1,1.0,109,2562,3,0.0362,0.0747,0.0317,0.0408,0.0,0.4446,0.3333,1.0,1.0
145894.05,1,1.0,109,2562,3,0.0362,0.0747,0.0317,0.0408,0.0,0.4446,0.3333,1.0,0.0
151965.3,1,1.0,109,2562,3,0.0362,0.0747,0.0317,0.0408,0.0,0.4446,0.3333,1.0,0.0
24943.85,1,1.0,110,2562,4,0.1688,0.4831,0.4057,0.502,3.6025,-1.883,0.5898,1.0,1.0
35064.15,1,1.0,110,2562,4,0.1688,0.4831,0.4057,0.502,3.6025,-1.883,0.5898,1.0,0.0
36153.6,1,1.0,110,2562,4,0.1688,0.4831,0.4057,0.502,3.6025,-1.883,0.5898,1.0,0.0
36995.05,1,1.0,110,2562,4,0.1688,0.4831,0.4057,0.502,3.6025,-1.883,0.5898,1.0,0.0
2579606.35,1,3.0,112,2928,6,0.0495,0.1291,0.0045,0.4211,-1.5698,0.3413,0.2988,1.0,1.0
2842784.8,1,3.0,112,2928,6,0.0495,0.1291,0.0045,0.4211,-1.5698,0.3413,0.2988,0.0,0.0
2912513.45,1,3.0,112,2928,6,0.0495,0.1291,0.0045,0.4211,-1.5698,0.3413,0.2988,0.0,0.0
2744703.75,1,3.0,112,2928,6,0.0495,0.1291,0.0045,0.4211,-1.5698,0.3413,0.2988,0.0,0.0
2591102.7,1,3.0,112,2928,6,0.0495,0.1291,0.0045,0.4211,-1.5698,0.3413,0.2988,0.0,0.0
2676137.85,1,3.0,112,2928,6,0.0495,0.1291,0.0045,0.4211,-1.5698,0.3413,0.2988,1.0,0.0
265143.9,1,3.0,113,2562,3,0.0581,0.1081,0.1075,21.5768,0.0,-1.7319,0.6615,1.0,1.0
